"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"213423_x_at",-0.611417969283888,7.53570839326018,0,0.825586104816805,1,"213423_x_at"
"218611_at",-0.586197861381371,6.15470908796006,0,0.827329079114385,1,"218611_at"
"202429_s_at",-0.526007926501238,10.3380932084023,0,0.827700890919129,1,"202429_s_at"
"219196_at",-0.631143001286612,5.27490835690609,0,0.830791676176875,1,"219196_at"
"208743_s_at",-0.516396022227033,7.74078104988967,0,0.831263821808181,1,"208743_s_at"
"210222_s_at",-0.52773523051254,9.72651238056581,0,0.831774512021971,1,"210222_s_at"
"219750_at",0.568272508029753,5.00708203190644,0,0.832286209944631,1,"219750_at"
"204471_at",-0.543993450983841,8.40627205680328,0,0.832369706710444,1,"204471_at"
"209598_at",-0.541780962720466,9.72927705302994,0,0.832602649443264,1,"209598_at"
"213476_x_at",-0.562757877982259,9.76373497228542,0,0.832826880274539,1,"213476_x_at"
"203798_s_at",-0.43441177471854,6.50531821547994,0,0.833279595499497,1,"203798_s_at"
"203998_s_at",-0.477070826702318,5.39389099263235,0,0.835774249562153,1,"203998_s_at"
"204337_at",-0.528900499026584,9.08865287186762,0,0.836080743339138,1,"204337_at"
"204749_at",-0.550398695891991,8.54964109032348,0,0.838875952449384,1,"204749_at"
"200853_at",-0.560453771046712,7.25864096231814,0,0.840067244781369,1,"200853_at"
"201426_s_at",-0.521129123146039,9.81615988788146,0,0.840665132516412,1,"201426_s_at"
"200638_s_at",-0.526686411721954,9.51454473175847,0,0.84168193436286,1,"200638_s_at"
"210016_at",-0.573527664222937,9.33355805321531,0,0.844240967143755,1,"210016_at"
"202507_s_at",-0.411712673900031,9.42844113249141,0,0.846482684063941,1,"202507_s_at"
"209771_x_at",-0.441647862907727,9.0606094857265,0,0.847196074638201,1,"209771_x_at"
"204466_s_at",-0.568840047436543,9.27592996479201,0,0.848680201174224,1,"204466_s_at"
"215884_s_at",-0.59827880007594,8.34600826368759,0,0.849889557884365,1,"215884_s_at"
"200978_at",-0.460407326240128,9.8948715168706,0,0.851641458438646,1,"200978_at"
"219368_at",-0.512982995971912,8.457813535636,0,0.851657004542925,1,"219368_at"
"202388_at",-0.609422821301591,8.09876608601997,0,0.851731825089048,1,"202388_at"
"202670_at",-0.521097106157494,9.08302282969977,0,0.856779353772983,1,"202670_at"
"213938_at",-0.576134360447262,7.36398322124702,0,0.858062559333294,1,"213938_at"
"205352_at",-0.55469204997069,8.9035507316255,0,0.860395827707295,1,"205352_at"
"214956_at",-0.598469992129033,7.7637046252792,0,0.861564425552982,1,"214956_at"
"212944_at",-0.499515841317878,8.37554692748196,0,0.862945131456054,1,"212944_at"
"203001_s_at",-0.451486968239779,9.45724037111909,0,0.863267376919985,1,"203001_s_at"
"201020_at",-0.460056695294806,8.70159069821972,0,0.863763634587254,1,"201020_at"
"218224_at",-0.545344901314088,8.2212055220031,0,0.864327993748919,1,"218224_at"
"201116_s_at",-0.465303099670015,9.43641595237957,0,0.868775592115148,1,"201116_s_at"
"202854_at",-0.494142332075901,8.16434046088336,0,0.870053543106862,1,"202854_at"
"203381_s_at",-0.565427237772099,8.89491368962016,0,0.87061283190792,1,"203381_s_at"
