"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"213664_at",-0.778618933687035,7.49683573640921,0,0.778253058247265,1,"213664_at"
"206089_at",-0.804696921657898,6.43295929855054,0,0.78363112488345,1,"206089_at"
"221449_s_at",-0.743536445646398,8.07241062810729,0,0.783639917499244,1,"221449_s_at"
"201645_at",0.751804949125086,6.54353902574942,0,0.784471049191466,1,"201645_at"
"212956_at",-0.73342606934281,7.85729083359867,0,0.785744178560801,1,"212956_at"
"AFFX-HSAC07/X00351_5_at",-0.6438631891189,9.84573109498584,0,0.786159127373233,1,"AFFX-HSAC07/X00351_5_at"
"209990_s_at",-0.76210175556727,9.57519339459636,0,0.786879033875373,1,"209990_s_at"
"202203_s_at",-0.770920242158194,7.86159820719122,0,0.78737540040713,1,"202203_s_at"
"201116_s_at",-0.705528359760304,9.43641595237957,0,0.788368739450976,1,"201116_s_at"
"212554_at",-0.746461488430214,9.0525585082052,0,0.789673203165267,1,"212554_at"
"218404_at",-0.743053186103724,7.27671933158557,0,0.79499859279736,1,"218404_at"
"202930_s_at",-0.738684904756473,6.85711799076256,0,0.795273136319164,1,"202930_s_at"
"212217_at",-0.703525770564397,8.05840034820358,0,0.797835914974926,1,"212217_at"
"211597_s_at",-0.746626686771656,8.79437051835153,0,0.798732789536083,1,"211597_s_at"
"208857_s_at",-0.686945388244687,7.76379865322642,0,0.799864576702007,1,"208857_s_at"
"204869_at",-0.744965299731042,8.37159622483632,0,0.801493622263376,1,"204869_at"
"221911_at",-0.730001339309597,7.14945372825938,0,0.801734913264822,1,"221911_at"
"200800_s_at",-0.571868361622153,8.46304141874068,0,0.803130280524478,1,"200800_s_at"
"213222_at",-0.764487744521519,9.64435573984329,0,0.804853656947499,1,"213222_at"
"212990_at",-0.70749461262076,8.06347987846645,0,0.80575993385033,1,"212990_at"
"221496_s_at",0.748344518032455,7.50109032603412,0,0.808959584430329,1,"221496_s_at"
"204260_at",-0.619591251090356,7.68711564673859,0,0.80977166543982,1,"204260_at"
"218868_at",-0.731841183767905,6.99991251673555,0,0.811097805418159,1,"218868_at"
"212361_s_at",-0.736347444522028,9.92514197220751,0,0.812189815214174,1,"212361_s_at"
"213418_at",-0.557800664740574,6.54439445566043,0,0.815112693748036,1,"213418_at"
"203881_s_at",-0.753973497413484,7.4082201975403,0,0.815824489243424,1,"203881_s_at"
"218002_s_at",-0.692245742807439,7.57491318100098,0,0.816056398307079,1,"218002_s_at"
"202133_at",0.762563990106529,6.84471287785956,0,0.816648896785941,1,"202133_at"
"212038_s_at",-0.685829065518169,8.05802447175417,0,0.816913230805746,1,"212038_s_at"
"210338_s_at",-0.540700414327613,9.12025499177922,0,0.817129996391755,1,"210338_s_at"
"207014_at",-0.695196246809584,6.03858619351114,0,0.818923718187021,1,"207014_at"
"204466_s_at",-0.707565087186198,9.27592996479201,0,0.820379188463022,1,"204466_s_at"
"215599_at",0.669633349276269,5.97549684701563,0,0.820746028312922,1,"215599_at"
"201387_s_at",-0.696575120482262,10.2036065724493,0,0.822662578461725,1,"201387_s_at"
"AFFX-HSAC07/X00351_M_at",-0.596401989897005,10.8590372989902,0,0.825245068683484,1,"AFFX-HSAC07/X00351_M_at"
"208977_x_at",-0.724761015972977,10.0201992625068,0,0.826034662736994,1,"208977_x_at"
"219572_at",-0.787881266728957,7.38731254123989,0,0.826172381601124,1,"219572_at"
