"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"201444_s_at",-0.866198201967046,7.08640716580352,0,0.605868001042239,1,"201444_s_at"
"212063_at",0.839803777450266,8.57235699812374,0,0.607831215205991,1,"212063_at"
"206089_at",-0.918631235321463,6.43295929855054,0,0.611260592318981,1,"206089_at"
"203413_at",-0.868068201683847,9.89949590490673,0,0.611445208167434,1,"203413_at"
"207323_s_at",0.817256424989504,11.4621325193924,0,0.612162381977854,1,"207323_s_at"
"205352_at",-0.885153244616873,8.9035507316255,0,0.614780248556543,1,"205352_at"
"213745_at",-0.899842331177605,5.20065811628057,0,0.61737372623537,1,"213745_at"
"213592_at",0.900919246646858,10.2708575201382,0,0.619320559034348,1,"213592_at"
"205278_at",-0.867018049961768,8.42384712411883,0,0.620638137912938,1,"205278_at"
"213418_at",-0.815556394421607,6.54439445566043,0,0.622133885040624,1,"213418_at"
"202854_at",-0.863331870429588,8.16434046088336,0,0.624613291538713,1,"202854_at"
"36711_at",0.800725574715046,7.43025850590777,0,0.631864146961377,1,"36711_at"
"204675_at",-0.876791018652646,6.71783534651813,0,0.63622684937972,1,"204675_at"
"219572_at",-0.900793311609321,7.38731254123989,0,0.644462881242333,1,"219572_at"
"209755_at",-0.857625126276192,8.33786090463862,0,0.647470691111731,1,"209755_at"
"206857_s_at",-0.885568504493024,8.70555660215254,0,0.653195297702984,1,"206857_s_at"
"215123_at",0.889991441915824,6.93972236652143,0,0.653962210589473,1,"215123_at"
"203510_at",-0.869169324703861,6.27856020492582,0,0.655083837223186,1,"203510_at"
"214414_x_at",0.805151360756396,9.36359714743769,0,0.659767270597093,1,"214414_x_at"
"201120_s_at",-0.852576066102499,7.16416273574326,0,0.662276695881633,1,"201120_s_at"
"213496_at",-0.793115278997115,9.3050822237629,0,0.66911488967583,1,"213496_at"
"213089_at",0.838177703728521,8.2597936551073,0,0.670404720095475,1,"213089_at"
"202395_at",-0.811896331418017,9.73650290101699,0,0.671213272938093,1,"202395_at"
"210181_s_at",-0.822256812623741,6.60949649028212,0,0.672751919154733,1,"210181_s_at"
"210078_s_at",-0.823916385809529,7.1373307897578,0,0.674288602263787,1,"210078_s_at"
"204035_at",-0.790806461268561,7.54505192687405,0,0.676699021178928,1,"204035_at"
"201116_s_at",-0.789161629677711,9.43641595237957,0,0.676852907549611,1,"201116_s_at"
"201939_at",-0.802983506761147,7.26872902302367,0,0.691572271169023,1,"201939_at"
"207507_s_at",-0.785417488329102,8.79053378385458,0,0.693785462283145,1,"207507_s_at"
"216834_at",0.667503377454869,7.27923697516643,0,0.694993637444741,1,"216834_at"
"204014_at",-0.709718848105652,6.03706016848314,0,0.6962173861622,1,"204014_at"
"204260_at",-0.715334486806189,7.68711564673859,0,0.699927679632473,1,"204260_at"
"213423_x_at",-0.789692133273848,7.53570839326018,0,0.701310840836455,1,"213423_x_at"
"220979_s_at",-0.782287680168904,7.67344603709277,0,0.70131584875862,1,"220979_s_at"
"219736_at",-0.843168186043312,6.06414752610223,0,0.702450673430751,1,"219736_at"
"205110_s_at",-0.734631579983601,8.9619895908652,0,0.702539938330145,1,"205110_s_at"
"221760_at",-0.817219550762892,6.9443820924468,0,0.703177006832944,1,"221760_at"
"204540_at",-0.75126951020742,9.83800582072996,0,0.703297948092677,1,"204540_at"
"207957_s_at",-0.774740123623133,8.30400471302157,0,0.704741704336214,1,"207957_s_at"
